   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
    C2    C25  -89.8301  0.001  -90.6914  -88.9689   True
    C2    C26  -90.2462  0.001  -91.1075  -89.3849   True
    C2    C27  -90.3909  0.001  -91.2522  -89.5296   True
    C2     C3   -15.693  0.001  -16.5543  -14.8317   True
    C2     C4  -55.4573  0.001  -56.3186   -54.596   True
    C2     C5    34.071  0.001   33.2097   34.9323   True
    C2     C6   23.8233  0.001    22.962   24.6846   True
    C2     C7    -2.361  0.001   -3.2223   -1.4997   True
    C2     C8   12.6298  0.001   11.7685    13.491   True
    C2     C9   -7.8047  0.001    -8.666   -6.9434   True
   C20    C21   -0.2467    0.9    -1.108    0.6146  False
   C20    C22    0.0821    0.9   -0.7792    0.9434  False
   C20    C23    0.3531    0.9   -0.5082    1.2144  False
   C20    C24     -0.01    0.9   -0.8713    0.8513  False
   C20    C25    0.2722    0.9   -0.5891    1.1335  False
   C20    C26   -0.1438    0.9   -1.0051    0.7175  False
   C20    C27   -0.2885    0.9   -1.1498    0.5727  False
   C20     C3   74.4093  0.001    73.548   75.2706   True
   C20     C4    34.645  0.001   33.7837   35.5063   True
   C20     C5  124.1733  0.001   123.312  125.0346   True
   C20     C6  113.9257  0.001  113.0644   114.787   True
   C20     C7   87.7413  0.001     86.88   88.6026   True
   C20     C8  102.7321  0.001  101.8708  103.5934   True
   C20     C9   82.2977  0.001   81.4364    83.159   True
   C21    C22    0.3289    0.9   -0.5324    1.1901  False
   C21    C23    0.5998 0.5604   -0.2615    1.4611  False
   C21    C24    0.2367    0.9   -0.6246     1.098  False
   C21    C25    0.5189 0.7818   -0.3424    1.3802  False
   C21    C26    0.1029    0.9   -0.7584    0.9642  False
   C21    C27   -0.0418    0.9   -0.9031    0.8195  False
   C21     C3    74.656  0.001   73.7948   75.5173   True
   C21     C4   34.8917  0.001   34.0304    35.753   True
   C21     C5    124.42  0.001  123.5588  125.2813   True
   C21     C6  114.1724  0.001  113.3111  115.0337   True
   C21     C7    87.988  0.001   87.1268   88.8493   True
   C21     C8  102.9788  0.001  102.1175  103.8401   True
   C21     C9   82.5444  0.001   81.6831   83.4057   True
   C22    C23     0.271    0.9   -0.5903    1.1323  False
