   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
   C17     C8  102.1963  0.001  101.5851  102.8075   True
   C17     C9   81.7452  0.001    81.134   82.3564   True
   C18    C19   -0.5084 0.2386   -1.1195    0.1028  False
   C18     C2   89.3608  0.001   88.7496    89.972   True
   C18    C20   -0.5386 0.1582   -1.1498    0.0725  False
   C18    C21   -0.8007 0.0012   -1.4119   -0.1895   True
   C18    C22   -0.9064  0.001   -1.5176   -0.2953   True
   C18    C23    -0.332    0.9   -0.9431    0.2792  False
   C18    C24   -0.5479 0.1378    -1.159    0.0633  False
   C18    C25    0.0522    0.9    -0.559    0.6633  False
   C18    C26   -0.4294  0.546   -1.0405    0.1818  False
   C18    C27   -1.0325  0.001   -1.6437   -0.4213   True
   C18     C3   72.8051  0.001    72.194   73.4163   True
   C18     C4   33.8851  0.001    33.274   34.4963   True
   C18     C5  123.5811  0.001    122.97  124.1923   True
   C18     C6  112.9058  0.001  112.2946   113.517   True
   C18     C7   87.0691  0.001    86.458   87.6803   True
   C18     C8  101.9746  0.001  101.3634  102.5857   True
   C18     C9   81.5235  0.001   80.9123   82.1346   True
   C19     C2   89.8692  0.001    89.258   90.4804   True
   C19    C20   -0.0303    0.9   -0.6414    0.5809  False
   C19    C21   -0.2923    0.9   -0.9035    0.3188  False
   C19    C22    -0.398 0.6667   -1.0092    0.2131  False
   C19    C23    0.1764    0.9   -0.4348    0.7876  False
   C19    C24   -0.0395    0.9   -0.6506    0.5717  False
   C19    C25    0.5606 0.1146   -0.0506    1.1717  False
   C19    C26     0.079    0.9   -0.5322    0.6902  False
   C19    C27   -0.5241 0.1936   -1.1353     0.087  False
   C19     C3   73.3135  0.001   72.7024   73.9247   True
   C19     C4   34.3935  0.001   33.7824   35.0047   True
   C19     C5  124.0895  0.001  123.4784  124.7007   True
   C19     C6  113.4142  0.001   112.803  114.0254   True
   C19     C7   87.5775  0.001   86.9664   88.1887   True
   C19     C8  102.4829  0.001  101.8718  103.0941   True
   C19     C9   82.0319  0.001   81.4207    82.643   True
    C2    C20  -89.8995  0.001  -90.5106  -89.2883   True
    C2    C21  -90.1615  0.001  -90.7727  -89.5503   True
    C2    C22  -90.2672  0.001  -90.8784  -89.6561   True
    C2    C23  -89.6928  0.001   -90.304  -89.0816   True
    C2    C24  -89.9087  0.001  -90.5198  -89.2975   True
    C2    C25  -89.3086  0.001  -89.9198  -88.6975   True
    C2    C26  -89.7902  0.001  -90.4013   -89.179   True
    C2    C27  -90.3933  0.001  -91.0045  -89.7822   True
    C2     C3  -16.5557  0.001  -17.1668  -15.9445   True
    C2     C4  -55.4757  0.001  -56.0868  -54.8645   True
    C2     C5   34.2203  0.001   33.6092   34.8315   True
    C2     C6    23.545  0.001   22.9338   24.1562   True
    C2     C7   -2.2917  0.001   -2.9028   -1.6805   True
    C2     C8   12.6138  0.001   12.0026   13.2249   True
    C2     C9   -7.8373  0.001   -8.4485   -7.2262   True
   C20    C21   -0.2621    0.9   -0.8732    0.3491  False
   C20    C22   -0.3678 0.7834   -0.9789    0.2434  False
   C20    C23    0.2067    0.9   -0.4045    0.8178  False
   C20    C24   -0.0092    0.9   -0.6204     0.602  False
   C20    C25    0.5908 0.0709   -0.0203     1.202  False
   C20    C26    0.1093    0.9   -0.5019    0.7204  False
   C20    C27   -0.4939 0.2868    -1.105    0.1173  False
   C20     C3   73.3438  0.001   72.7326    73.955   True
   C20     C4   34.4238  0.001   33.8126    35.035   True
   C20     C5  124.1198  0.001  123.5086   124.731   True
   C20     C6  113.4445  0.001  112.8333  114.0556   True
   C20     C7   87.6078  0.001   86.9966    88.219   True
   C20     C8  102.5132  0.001  101.9021  103.1244   True
   C20     C9   82.0621  0.001    81.451   82.6733   True
   C21    C22   -0.1057    0.9   -0.7169    0.5054  False
   C21    C23    0.4687  0.385   -0.1424    1.0799  False
   C21    C24    0.2528    0.9   -0.3583     0.864  False
   C21    C25    0.8529  0.001    0.2417     1.464   True
   C21    C26    0.3713 0.7697   -0.2398    0.9825  False
   C21    C27   -0.2318    0.9    -0.843    0.3794  False
   C21     C3   73.6058  0.001   72.9947    74.217   True
   C21     C4   34.6858  0.001   34.0747    35.297   True
   C21     C5  124.3818  0.001  123.7707   124.993   True
   C21     C6  113.7065  0.001  113.0953  114.3177   True
   C21     C7   87.8698  0.001   87.2587    88.481   True
   C21     C8  102.7753  0.001  102.1641  103.3864   True
   C21     C9   82.3242  0.001    81.713   82.9353   True
   C22    C23    0.5744 0.0916   -0.0367    1.1856  False
   C22    C24    0.3586 0.8189   -0.2526    0.9697  False
   C22    C25    0.9586  0.001    0.3474    1.5698   True
   C22    C26    0.4771 0.3495   -0.1341    1.0882  False
   C22    C27   -0.1261    0.9   -0.7372    0.4851  False
   C22     C3   73.7116  0.001   73.1004   74.3227   True
   C22     C4   34.7916  0.001   34.1804   35.4027   True
   C22     C5  124.4876  0.001  123.8764  125.0987   True
   C22     C6  113.8122  0.001  113.2011  114.4234   True
   C22     C7   87.9756  0.001   87.3644   88.5867   True
   C22     C8   102.881  0.001  102.2698  103.4922   True
   C22     C9   82.4299  0.001   81.8187   83.0411   True
   C23    C24   -0.2159    0.9    -0.827    0.3953  False
   C23    C25    0.3842 0.7203    -0.227    0.9953  False
   C23    C26   -0.0974    0.9   -0.7085    0.5138  False
